"","Family","n"
"1","Aeromonadaceae",18
"2","Budviciaceae",1
"3","Deinococcaceae",1
"4","Enterobacteriaceae",203
"5","Erwiniaceae",4
"6","Hafniaceae",9
"7","Leptotrichiaceae",11
"8","Moraxellaceae",1
"9","Morganellaceae",27
"10","Neisseriaceae",2
"11","Pasteurellaceae",53
"12","Peptoniphilaceae",1
"13","Piscirickettsiaceae",1
"14","Pseudomonadaceae",2
"15","Rhodobacteraceae",1
"16","Streptococcaceae",10
"17","Treponemataceae",2
"18","Unclassified",1
"19","Vibrionaceae",25
"20","Yersiniaceae",3
