"","Family","n"
"1","Alcanivoracaceae",1
"2","Alteromonadaceae",2
"3","Aphanothecaceae",2
"4","Bacillaceae",49
"5","Cellvibrionaceae",2
"6","Comamonadaceae",1
"7","Moraxellaceae",2
"8","Oceanospirillaceae",3
"9","Oxalobacteraceae",2
"10","Paenibacillaceae",2
"11","Piscirickettsiaceae",1
"12","Pseudoalteromonadaceae",6
"13","Pseudomonadaceae",28
"14","Shewanellaceae",3
"15","Yersiniaceae",1
